"IntZone","IntZoneName","CPP","Attainment","employment_rate","income_rate","access_deprived_rate"
"S02001236","Culter","Aberdeen City",5.9,5.8,7,11.2
"S02001237","Cults, Bieldside and Milltimber West","Aberdeen City",6.2,2.6,2,56.6
"S02001238","Cults, Bieldside and Milltimber East","Aberdeen City",6.4,2.8,3,38
"S02001239","Garthdee","Aberdeen City",4.9,8.5,13,0
"S02001240","Braeside, Mannofield, Broomhill and Seafield East","Aberdeen City",5.8,2.8,3,0
"S02001241","Braeside, Mannofield, Broomhill and Seafield South","Aberdeen City",6.1,2.5,2,0
"S02001242","Braeside, Mannofield, Broomhill and Seafield North","Aberdeen City",6,1.9,2,0
"S02001243","Hazlehead","Aberdeen City",6,5.3,5,24
"S02001244","Summerhill","Aberdeen City",5.3,10.8,12,0
"S02001245","Midstocket","Aberdeen City",6,3.2,3,0
"S02001246","Rosemount","Aberdeen City",5.8,6.2,7,0
"S02001247","West End North","Aberdeen City",6.4,1.3,2,0
"S02001248","West End South","Aberdeen City",6.3,2.8,3,0
"S02001249","City Centre West","Aberdeen City",5.2,5.2,7,0
"S02001250","City Centre East","Aberdeen City",4.4,7.8,9,0
"S02001251","Ferryhill North","Aberdeen City",5.5,3.5,4,0
"S02001252","Ferryhill South","Aberdeen City",5.5,4.7,5,0
"S02001253","Kincorth, Leggart and Nigg North","Aberdeen City",5.2,10.6,13,0
"S02001254","Kincorth, Leggart and Nigg South","Aberdeen City",5.2,6.4,8,33.7
"S02001255","Cove South","Aberdeen City",5.6,2.7,3,0
"S02001256","Cove North","Aberdeen City",5.4,5.5,5,0
"S02001257","Torry West","Aberdeen City",4.9,12.8,16,0
"S02001258","Torry East","Aberdeen City",4.7,16.2,22,0
"S02001259","Hanover South","Aberdeen City",5.2,9.4,12,0
"S02001260","Hanover North","Aberdeen City",5.1,6.9,7,0
"S02001261","George Street","Aberdeen City",5.3,8.5,10,0
"S02001262","Ashgrove","Aberdeen City",5.5,9.7,11,0
"S02001263","Froghall, Powis and Sunnybank","Aberdeen City",4.9,5.4,8,0
"S02001264","Seaton","Aberdeen City",5,11.5,15,0
"S02001265","Old Aberdeen","Aberdeen City",4.9,7,10,0
"S02001266","Tillydrone","Aberdeen City",5.2,14.4,18,0
"S02001267","Woodside","Aberdeen City",4.8,16.7,22,0
"S02001268","Hilton","Aberdeen City",5.6,6.2,8,0
"S02001269","Stockethill","Aberdeen City",5.2,13,15,0
"S02001270","Mastrick","Aberdeen City",5,13.2,17,0
"S02001271","Sheddocksley","Aberdeen City",5.1,12,14,16.5
"S02001272","Cummings Park","Aberdeen City",4.9,10.9,16,0
"S02001273","Northfield","Aberdeen City",4.9,13,17,0
"S02001274","Heathryfold and Middlefield","Aberdeen City",5,13.5,19,0
"S02001275","Kingswells","Aberdeen City",6,2.6,3,19.3
"S02001276","Bucksburn South","Aberdeen City",5.1,6.7,7,0
"S02001277","Bucksburn North","Aberdeen City",5.4,5.6,8,0
"S02001278","Dyce","Aberdeen City",5.4,5.5,7,15.4
"S02001279","Danestone","Aberdeen City",5.8,1.9,2,0
"S02001280","Oldmachar West","Aberdeen City",5.8,3.3,3,0
"S02001281","Oldmachar East","Aberdeen City",5.8,3,3,0
"S02001282","Balgownie and Donmouth West","Aberdeen City",5.8,5.9,8,0
"S02001283","Balgownie and Donmouth East","Aberdeen City",5.9,3.9,4,0
"S02001284","Denmore","Aberdeen City",6,3.6,4,59.7
"S02001285","East Cairngorms","Aberdeenshire",5.7,4.8,5,33
"S02001286","Aboyne and South Deeside","Aberdeenshire",5.9,4.2,5,57.9
"S02001287","Mearns and Laurencekirk","Aberdeenshire",5.6,4.2,6,17.4
"S02001288","Mearns South and Benholm","Aberdeenshire",5.6,5.2,7,100
"S02001289","Mearns North and Inverbervie","Aberdeenshire",5.8,4.2,6,48.6
"S02001290","Fetteresso, Netherley and Catter","Aberdeenshire",6.1,1.9,2,100
"S02001291","Stonehaven South","Aberdeenshire",6,6.7,7,0
"S02001292","Stonehaven North","Aberdeenshire",5.9,4.3,5,0
"S02001293","Newtonhill","Aberdeenshire",6,2.6,3,100
"S02001294","Portlethen","Aberdeenshire",5.8,3.2,2,0
"S02001295","Banchory-Devenick and Findon","Aberdeenshire",5.5,4,4,37.5
"S02001296","Dunecht, Durris and Drumoak","Aberdeenshire",5.9,2.3,3,100
"S02001297","Banchory East","Aberdeenshire",6,3.3,4,0
"S02001298","Banchory West","Aberdeenshire",6.3,3.2,4,0
"S02001299","Crathes and Torphins","Aberdeenshire",5.9,2.5,3,60.3
"S02001300","Cromar and Kildrummy","Aberdeenshire",5.7,3.8,5,82.6
"S02001301","Howe of Alford","Aberdeenshire",5.8,3.8,4,47.8
"S02001302","Kemnay","Aberdeenshire",5.3,5.8,9,0
"S02001303","Inverurie North","Aberdeenshire",5.5,5.7,6,0
"S02001304","Inverurie South","Aberdeenshire",5.4,8.8,10,0
"S02001305","Durno-Chapel of Garioch","Aberdeenshire",5.7,1.9,3,87.3
"S02001306","Kintore","Aberdeenshire",5.8,3,3,21
"S02001307","Blackburn","Aberdeenshire",5.8,3,3,100
"S02001308","Westhill North and South","Aberdeenshire",5.9,2.2,2,56.1
"S02001309","Westhill Central","Aberdeenshire",5.7,2.5,2,0
"S02001310","Garlogie and Elrick","Aberdeenshire",5.9,2.7,3,0
"S02001311","Newmachar and Fintray","Aberdeenshire",5.5,3.1,4,100
"S02001312","Balmedie and Potterton","Aberdeenshire",5.5,2.8,3,100
"S02001313","Ellon East","Aberdeenshire",5.7,3.9,4,0
"S02001314","Ellon West","Aberdeenshire",5.6,4.8,6,0
"S02001315","Ythanside","Aberdeenshire",5.9,2.7,4,100
"S02001316","Ythsie","Aberdeenshire",5.7,3.4,4,73
"S02001317","Barrahill","Aberdeenshire",5.7,3.1,4,21.6
"S02001318","Fyvie-Rothie","Aberdeenshire",5.5,4.5,5,89.2
"S02001319","Insch, Oyne and Ythanwells","Aberdeenshire",5.6,4.2,4,59.3
"S02001320","Clashindarroch","Aberdeenshire",5.4,4.3,5,100
"S02001321","Huntly","Aberdeenshire",5.3,8.9,11,0
"S02001322","Auchterless and Monquhitter","Aberdeenshire",5.4,3.6,4,100
"S02001323","Turriff","Aberdeenshire",5.3,6.8,9,0
"S02001324","Portsoy, Fordyce and Cornhill","Aberdeenshire",5.1,7.7,9,45.3
"S02001325","Aberchirder and Whitehills","Aberdeenshire",5.4,8.4,8,73.1
"S02001326","Banff","Aberdeenshire",5.4,11.5,13,0
"S02001327","Macduff","Aberdeenshire",5.2,10.2,12,0
"S02001328","Gardenstown and King Edward","Aberdeenshire",5.5,6.4,8,81.8
"S02001329","New Pitsligo","Aberdeenshire",5.5,6.9,9,68.4
"S02001330","Deer and Mormond","Aberdeenshire",5.5,5.5,7,52.1
"S02001331","Mintlaw","Aberdeenshire",5.5,8.5,11,0
"S02001332","Auchnagatt","Aberdeenshire",5.5,4.5,4,77.6
"S02001333","Cruden","Aberdeenshire",5.4,7,8,26.2
"S02001334","Peterhead Links","Aberdeenshire",5.3,5.2,7,0
"S02001335","Peterhead Bay","Aberdeenshire",5.4,11.5,14,0
"S02001336","Peterhead Harbour","Aberdeenshire",4.9,14.3,18,0
"S02001337","Peterhead Ugieside","Aberdeenshire",5.4,5.6,8,12.2
"S02001338","Longside and Rattray","Aberdeenshire",5.3,4.5,5,100
"S02001339","Rosehearty and Strathbeg","Aberdeenshire",5.4,7,9,46
"S02001340","Fraserburgh Smiddyhill","Aberdeenshire",5.5,4.1,4,26.4
"S02001341","Fraserburgh Lochpots","Aberdeenshire",4.7,13.6,17,0
"S02001342","Fraserburgh Central-Academy","Aberdeenshire",5.4,9.3,13,0
"S02001343","Fraserburgh Harbour and Broadsea","Aberdeenshire",4.9,15.5,21,0
"S02001344","South Angus","Angus",5.8,3.9,4,63.2
"S02001345","Monikie","Angus",5.7,3.5,3,78.2
"S02001346","Monifieth West","Angus",5.7,3.7,5,0
"S02001347","Monifieth East","Angus",5.9,4.7,5,0
"S02001348","Carnoustie West","Angus",5.4,8.3,10,0
"S02001349","Carnoustie East","Angus",5.6,4.5,5,0
"S02001350","Arbroath Landward","Angus",6,3.1,5,100
"S02001351","Arbroath Kirkton","Angus",5.6,8.7,11,32
"S02001352","Arbroath Keptie","Angus",5.8,8.3,10,0
"S02001353","Arbroath Harbour","Angus",5.1,17.2,22,0
"S02001354","Arbroath Cliffburn","Angus",5.2,12.2,17,0
"S02001355","Arbroath Warddykes","Angus",5.2,14.3,20,0
"S02001356","Lunan","Angus",5.4,6.3,8,71.5
"S02001357","Montrose South","Angus",5.4,12.1,15,0
"S02001358","Montrose North","Angus",5.5,10.1,12,0
"S02001359","Hillside","Angus",5.7,5,7,36.5
"S02001360","Friockheim","Angus",5.7,6,6,71.3
"S02001361","Brechin East","Angus",5.1,15.2,18,0
"S02001362","Brechin West","Angus",5.5,6.6,9,0
"S02001363","Letham and Glamis","Angus",5.7,5.5,7,100
"S02001364","Forfar East","Angus",5.4,6.3,7,0
"S02001365","Forfar Central","Angus",5.1,12.9,17,0
"S02001366","Forfar West","Angus",5.2,10.5,12,0
"S02001367","Kirriemuir Landward","Angus",5.8,6.4,7,82.8
"S02001368","Kirriemuir","Angus",5.6,9.1,11,0
"S02001369","Angus Glens","Angus",5.7,4.4,6,72.6
"S02001370","Mull, Iona, Coll and Tiree","Argyll and Bute",5.9,4.8,6,73.1
"S02001371","Oban South","Argyll and Bute",5.4,8.8,11,12.6
"S02001372","Oban North","Argyll and Bute",5.4,6.3,7,0
"S02001373","Benderloch Trail","Argyll and Bute",5.6,4.8,6,89.1
"S02001374","Loch Awe","Argyll and Bute",5.5,4.4,7,100
"S02001375","Mid Argyll","Argyll and Bute",5.4,5,7,73.9
"S02001376","Greater Lochgilphead","Argyll and Bute",5.5,9.9,11,15.9
"S02001377","Knapdale","Argyll and Bute",5.6,5.6,7,53.9
"S02001378","Whisky Isles","Argyll and Bute",5.5,6.2,8,57.6
"S02001379","Kintyre Trail","Argyll and Bute",5.7,7.1,9,100
"S02001380","Campbeltown","Argyll and Bute",5.4,12.3,16,0
"S02001381","Bute","Argyll and Bute",5.8,7.1,8,24.3
"S02001382","Rothesay Town","Argyll and Bute",5.2,18.6,24,0
"S02001383","Cowal South","Argyll and Bute",5.5,7.1,7,75.2
"S02001384","Cowal North","Argyll and Bute",6,6.7,8,100
"S02001385","Hunter's Quay","Argyll and Bute",5.4,11.4,14,0
"S02001386","Dunoon","Argyll and Bute",5.5,16.2,18,0
"S02001387","Garelochhead","Argyll and Bute",5.7,4.3,6,56.9
"S02001388","Helensburgh West and Rhu","Argyll and Bute",5.8,4.9,5,46.6
"S02001389","Helensburgh North","Argyll and Bute",6.2,3.4,5,0
"S02001390","Helensburgh Centre","Argyll and Bute",5.7,11.3,13,0
"S02001391","Helensburgh East","Argyll and Bute",5.6,10,12,0
"S02001392","Lomond Shore","Argyll and Bute",5.9,3.9,5,100
"S02001393","Tullibody South","Clackmannanshire",5.3,10.4,13,16.4
"S02001394","Tullibody North and Glenochil","Clackmannanshire",5.1,8.5,15,0
"S02001395","Menstrie","Clackmannanshire",5.5,5.3,6,0
"S02001396","Alva","Clackmannanshire",5.6,11.3,13,0
"S02001397","Fishcross, Devon Village and Coalsnaughton","Clackmannanshire",5.1,12.5,14,0
"S02001398","Tillicoultry","Clackmannanshire",5.7,11.6,14,0
"S02001399","Dollar and Muckhart","Clackmannanshire",6,3.3,4,14.4
"S02001400","Clackmannan, Kennet and Forestmill","Clackmannanshire",5.3,9.8,11,0
"S02001401","Sauchie","Clackmannanshire",5.3,14.7,17,0
"S02001402","Alloa South and East","Clackmannanshire",4.7,25.8,34,0
"S02001403","Alloa North","Clackmannanshire",5.4,11,13,8.3
"S02001404","Alloa West","Clackmannanshire",5.6,7.8,8,0
"S02001405","Stranraer West","Dumfries and Galloway",5.2,17.1,22,0
"S02001406","Stranraer East","Dumfries and Galloway",5.5,13.3,18,0
"S02001407","Stranraer South","Dumfries and Galloway",5.3,12.3,18,0
"S02001408","Rhins North","Dumfries and Galloway",5.4,7.8,11,100
"S02001409","Rhins South","Dumfries and Galloway",5.4,10.4,14,100
"S02001410","Machars North","Dumfries and Galloway",5.6,9.2,12,100
"S02001411","Machars South","Dumfries and Galloway",5.6,9.1,14,46.2
"S02001412","Newton Stewart","Dumfries and Galloway",5.7,9.9,13,25.8
"S02001413","Gatehouse","Dumfries and Galloway",5.6,5.9,8,56.1
"S02001414","Kirkcudbright","Dumfries and Galloway",5.7,6.5,8,44.9
"S02001415","Castle Douglas","Dumfries and Galloway",5.7,9,11,19.6
"S02001416","Dalbeattie","Dumfries and Galloway",5.8,9.8,12,0
"S02001417","Dalbeattie Rural","Dumfries and Galloway",6,3.8,4,100
"S02001418","Glenkens","Dumfries and Galloway",5.8,7.1,11,74.7
"S02001419","Upper Nithsdale","Dumfries and Galloway",5.5,13,17,9.8
"S02001420","Thornhill","Dumfries and Galloway",5.9,6.3,10,58.6
"S02001421","Mid Nithsdale","Dumfries and Galloway",5.8,4.7,6,100
"S02001422","Shawhead","Dumfries and Galloway",5.6,6,9,40.4
"S02001423","Lochside and Lincluden","Dumfries and Galloway",4.8,18.8,25,0
"S02001424","Summerville","Dumfries and Galloway",5.5,13,18,0
"S02001425","Troqueer","Dumfries and Galloway",5.8,7.3,9,0
"S02001426","New Abbey","Dumfries and Galloway",5.7,8.3,9,67.9
"S02001427","Kingholm","Dumfries and Galloway",5.7,7.5,8,39.3
"S02001428","Calside","Dumfries and Galloway",5.7,3.6,4,0
"S02001429","Georgetown","Dumfries and Galloway",5.9,4.1,4,0
"S02001430","Dumfries Central","Dumfries and Galloway",5.4,18.7,21,0
"S02001431","Nunholm","Dumfries and Galloway",5.9,9.2,9,0
"S02001432","Locharbriggs","Dumfries and Galloway",5.4,7.1,10,0
"S02001433","Heathhall","Dumfries and Galloway",5.9,4.4,5,21.1
"S02001434","Collin","Dumfries and Galloway",5.8,2.8,4,41.3
"S02001435","Lochmaben","Dumfries and Galloway",5.6,5.7,8,40
"S02001436","Lockerbie","Dumfries and Galloway",5.4,8.9,12,15.1
"S02001437","Moffat","Dumfries and Galloway",5.7,6.7,8,35.2
"S02001438","Langholm and Eskdale","Dumfries and Galloway",5.9,6.6,10,40.2
"S02001439","Annandale East","Dumfries and Galloway",5.6,6,9,71.7
"S02001440","Annandale West","Dumfries and Galloway",5.6,6,7,100
"S02001441","Annan West","Dumfries and Galloway",5.1,11.1,13,0
"S02001442","Annan East","Dumfries and Galloway",5.2,10,13,12.8
"S02001443","Eastriggs","Dumfries and Galloway",5.7,5.7,7,22.5
"S02001444","Gretna","Dumfries and Galloway",5.4,6.6,9,16.8
"S02001445","Westend","Dundee City",5.9,3.4,4,0
"S02001446","Perth Road","Dundee City",5,6.3,9,0
"S02001447","Logie and Blackness","Dundee City",5.2,11.1,15,0
"S02001448","City Centre","Dundee City",5.2,12,15,0
"S02001449","Docks and Wellgate","Dundee City",4.9,12.4,17,0
"S02001450","Hilltown","Dundee City",4.8,20.1,28,0
"S02001451","The Glens","Dundee City",4.7,22.3,27,0
"S02001452","Stobswell","Dundee City",4.6,16.6,22,0
"S02001453","Baxter Park","Dundee City",5.8,5.9,6,0
"S02001454","Craigie and  Craigiebank","Dundee City",5.6,10.7,14,0
"S02001455","Douglas West","Dundee City",4.7,18.9,27,0
"S02001456","West Ferry","Dundee City",6,4.8,5,0
"S02001457","Douglas East","Dundee City",4.8,19.7,27,0
"S02001458","Broughty Ferry West","Dundee City",6,5.6,6,0
"S02001459","Broughty Ferry East","Dundee City",5.9,4.3,5,0
"S02001460","Barnhill","Dundee City",5.9,7.2,7,0
"S02001461","West Pitkerro","Dundee City",5.8,4.1,4,41.3
"S02001462","Whitfield","Dundee City",4.5,17.7,27,0
"S02001463","Fintry","Dundee City",4.9,10.4,16,21.3
"S02001464","Linlathen and Midcraigie","Dundee City",4.5,21.4,32,0
"S02001465","Caird Park","Dundee City",5.1,11,16,0
"S02001466","Kirkton","Dundee City",4.7,14.4,22,0
"S02001467","Downfield","Dundee City",5.2,8.1,10,0
"S02001468","Fairmuir","Dundee City",5.5,9,12,0
"S02001469","Law","Dundee City",5.1,17.7,22,0
"S02001470","Balgay","Dundee City",5.7,9.2,10,0
"S02001471","Menzieshill","Dundee City",4.8,18.5,21,0
"S02001472","Charleston","Dundee City",4.8,19.5,27,0
"S02001473","Lochee","Dundee City",4.4,20.9,25,0
"S02001474","Ardler and St Marys","Dundee City",4.9,17.8,24,0
"S02001475","Western Edge","Dundee City",5.9,2.4,3,16.9
"S02001476","Doon Valley South","East Ayrshire",5.1,19,27,16.8
"S02001477","Doon Valley North","East Ayrshire",5.2,13.2,16,36.1
"S02001478","Mauchline Rural","East Ayrshire",5.5,11,14,37
"S02001479","Drongan","East Ayrshire",5.3,11.3,15,23.8
"S02001480","Mauchline","East Ayrshire",5.6,8.4,10,0
"S02001481","Cumnock Rural","East Ayrshire",5.3,13,17,61.6
"S02001482","New Cumnock","East Ayrshire",5.5,14.3,21,0
"S02001483","Cumnock South and Craigens","East Ayrshire",5.2,15.6,20,0
"S02001484","Cumnock North","East Ayrshire",5.3,10.9,13,0
"S02001485","Auchinleck","East Ayrshire",5.1,16.2,21,0
"S02001486","Northern and Irvine Valley Rural","East Ayrshire",5.8,3.9,5,81
"S02001487","Stewarton East","East Ayrshire",5.9,6.8,9,0
"S02001488","Stewarton West","East Ayrshire",5.6,9.9,13,0
"S02001489","Darvel","East Ayrshire",5.8,10.6,11,0
"S02001490","Newmilns","East Ayrshire",5.2,17.2,19,0
"S02001491","Galston","East Ayrshire",5.4,11.1,16,0
"S02001492","Earlston and Hurlford Rural","East Ayrshire",5.5,11.7,16,18.9
"S02001493","Shortlees","East Ayrshire",4.6,20.6,32,0
"S02001494","Bellfield and Kirkstyle","East Ayrshire",5.3,12.7,18,0
"S02001495","Kilmarnock South Central and Caprington","East Ayrshire",5.5,15.3,17,0
"S02001496","Piersland","East Ayrshire",5.6,8.2,9,0
"S02001497","New Farm Loch South","East Ayrshire",5.6,12.7,16,0
"S02001498","Dean and New Farm Loch North","East Ayrshire",5.4,10.1,16,0
"S02001499","Southcraig and Beansburn","East Ayrshire",6,3,2,82.9
"S02001500","Altonhill North and Onthank","East Ayrshire",4.9,17.2,24,0
"S02001501","Altonhill South, Longpark and Hillhead","East Ayrshire",4.4,21.1,28,16.8
"S02001502","Bonnyton and Town Centre","East Ayrshire",5.6,13.4,18,0
"S02001503","Grange, Howard and Gargieston","East Ayrshire",6.1,2,3,18.3
"S02001504","Crosshouse, Gatehead and Kilmaurs Rural","East Ayrshire",5.3,6.6,9,50.5
"S02001505","Kilmaurs","East Ayrshire",5.7,9.5,12,0
"S02001506","West Clober and Mains Estate","East Dunbartonshire",6.1,3.1,3,29.5
"S02001507","East Clober and Mains Estate","East Dunbartonshire",5.7,7.9,10,0
"S02001508","Barloch","East Dunbartonshire",6.3,3.2,3,0
"S02001509","Keystone and Dougalston","East Dunbartonshire",6.3,5.6,6,26.3
"S02001510","Kilmardinny East","East Dunbartonshire",6.5,2,2,20.6
"S02001511","Kilmardinny West","East Dunbartonshire",6.5,2.5,3,0
"S02001512","North Castlehill and Thorn","East Dunbartonshire",6.2,2.3,3,19.7
"S02001513","South Castlehill and Thorn","East Dunbartonshire",6.2,4.1,5,0
"S02001514","Westerton West","East Dunbartonshire",6,3.7,5,32
"S02001515","Westerton East","East Dunbartonshire",6.3,2.9,3,0
"S02001516","Kessington West","East Dunbartonshire",6.2,2.6,2,0
"S02001517","Kessington East","East Dunbartonshire",6.3,3.1,3,0
"S02001518","Torrance and Balmore","East Dunbartonshire",6.1,4.4,4,100
"S02001519","Bishopbriggs North and Kenmure","East Dunbartonshire",6.3,3.7,4,0
"S02001520","Bishopbriggs West and Cadder","East Dunbartonshire",6,3.5,5,0
"S02001521","Auchinairn","East Dunbartonshire",5.7,10.6,14,0
"S02001522","Woodhill East","East Dunbartonshire",6,2.9,3,0
"S02001523","Woodhill West","East Dunbartonshire",6.1,4.2,4,0
"S02001524","Lenzie North","East Dunbartonshire",6.1,5.6,6,0
"S02001525","Lenzie South","East Dunbartonshire",6.3,2.4,3,0
"S02001526","Kirkintilloch South","East Dunbartonshire",5.9,8.5,10,0
"S02001527","Kirkintilloch West","East Dunbartonshire",6,12.4,12,0
"S02001528","Hillhead","East Dunbartonshire",5.4,20,26,0
"S02001529","Rosebank and Waterside","East Dunbartonshire",6,4.9,6,49.8
"S02001530","Twechar and Harestanes East","East Dunbartonshire",5.7,9.3,11,44.2
"S02001531","Harestanes","East Dunbartonshire",5.7,13.7,16,0
"S02001532","Milton of Campsie","East Dunbartonshire",5.9,5.6,7,38
"S02001533","Lennoxtown","East Dunbartonshire",5.8,9.6,13,0
"S02001534","Wallyford/Whitecraig","East Lothian",5.1,8,12,0
"S02001535","Musselburgh South","East Lothian",5.6,8.4,10,0
"S02001536","Musselburgh West","East Lothian",5.9,4.6,6,0
"S02001537","Musselburgh North","East Lothian",5.4,12.1,16,0
"S02001538","Musselburgh East","East Lothian",5.3,11.5,17,0
"S02001539","Pinkie Braes","East Lothian",5,13.9,18,0
"S02001540","Prestonpans West","East Lothian",5.1,11.6,15,0
"S02001541","Prestonpans East","East Lothian",5.2,10.3,13,0
"S02001542","Cockenzie","East Lothian",5.5,7.1,8,0
"S02001543","Tranent North","East Lothian",5.4,10.2,14,0
"S02001544","Tranent South","East Lothian",5.6,8.2,11,0
"S02001545","Ormiston","East Lothian",5.5,10,13,28.7
"S02001546","Longniddry and Aberlady","East Lothian",5.7,6.1,7,15.7
"S02001547","Haddington Rural","East Lothian",5.9,4.5,6,83.3
"S02001548","Haddington North","East Lothian",5.9,7,7,0
"S02001549","Haddington South","East Lothian",5.5,11,13,0
"S02001550","Gullane and Drem","East Lothian",5.8,4.5,5,36.9
"S02001551","North Berwick North","East Lothian",5.6,3.9,4,0
"S02001552","North Berwick South","East Lothian",6.1,4.6,6,38.7
"S02001553","East Linton and Rural","East Lothian",5.9,4.6,5,66.6
"S02001554","Dunbar West","East Lothian",5.6,7.9,10,36.1
"S02001555","Dunbar East","East Lothian",5.7,7.1,9,0
"S02001556","Neilston and Uplawmoor","East Renfrewshire",6,7.6,9,13.1
"S02001557","Cross Stobbs","East Renfrewshire",6.1,4.7,5,0
"S02001558","Dunterlie, East Arthurlie and Dovecothall","East Renfrewshire",5.3,16.4,22,0
"S02001559","Arthurlie and Gateside","East Renfrewshire",5.7,9.4,10,0
"S02001560","Auchenback","East Renfrewshire",5.5,12.7,19,0
"S02001561","Crookfur and Fruin","East Renfrewshire",6.3,3.5,5,0
"S02001562","Mearns Village, Westacres and Greenfarm","East Renfrewshire",6.3,5.8,7,15.2
"S02001563","Whitecraigs and Broom","East Renfrewshire",6.2,1.7,2,0
"S02001564","Mearnskirk and South Kirkhill","East Renfrewshire",6.4,2.3,4,16.7
"S02001565","Eaglesham and Waterfoot","East Renfrewshire",6.1,5.1,6,28.2
"S02001566","North Kirkhill","East Renfrewshire",6,3.1,3,0
"S02001567","Busby","East Renfrewshire",6.1,6.9,9,0
"S02001568","Clarkston and Sheddens","East Renfrewshire",6.4,2,2,0
"S02001569","Williamwood","East Renfrewshire",6.2,2.3,1,0
"S02001570","Stamperland","East Renfrewshire",6.1,3,3,0
"S02001571","Netherlee","East Renfrewshire",6.4,1.9,3,0
"S02001572","Merrylee and Braidbar","East Renfrewshire",6.4,2.4,4,0
"S02001573","Lower Whitecraigs and South Giffnock","East Renfrewshire",6.5,1.5,1,0
"S02001574","North Giffnock and North Thornliebank","East Renfrewshire",6.1,6.1,8,0
"S02001575","South Thornliebank and Woodfarm","East Renfrewshire",6.2,8,9,0
"S02001576","Balerno and Bonnington Village","Edinburgh, City of",5.9,3.9,4,42.7
"S02001577","Currie West","Edinburgh, City of",5.7,1.6,2,17.4
"S02001578","Currie East","Edinburgh, City of",5.9,3.6,3,0
"S02001579","Baberton and Juniper Green","Edinburgh, City of",6,2.7,3,0
"S02001580","Bonaly and The Pentlands","Edinburgh, City of",6.1,2.1,2,0
"S02001581","Colinton and Kingsknowe","Edinburgh, City of",6,1.6,3,0
"S02001582","Clovenstone and Wester Hailes","Edinburgh, City of",5,16.3,24,0
"S02001583","The Calders","Edinburgh, City of",4.8,17.4,23,0
"S02001584","Murrayburn and Wester Hailes North","Edinburgh, City of",4.7,24.3,32,0
"S02001585","Parkhead and Sighthill","Edinburgh, City of",5.2,5.2,9,0
"S02001586","Broomhouse and Bankhead","Edinburgh, City of",5.1,11.4,19,0
"S02001587","Stenhouse and Saughton Mains","Edinburgh, City of",5.1,13.5,18,0
"S02001588","Longstone and Saughton","Edinburgh, City of",5,7.6,11,0
"S02001589","Slateford and Chesser","Edinburgh, City of",5.8,6.2,9,0
"S02001590","Gorgie West","Edinburgh, City of",5.1,8.9,10,0
"S02001591","Gorgie East","Edinburgh, City of",4.8,8,10,0
"S02001592","Shandon","Edinburgh, City of",6.2,2.1,3,0
"S02001593","Craiglockhart","Edinburgh, City of",6,1.4,1,0
"S02001594","Morningside and Craighouse","Edinburgh, City of",6.1,3,3,0
"S02001595","Greenbank and The Braids","Edinburgh, City of",6.4,1.3,1,23
"S02001596","Colinton Mains and Firrhill","Edinburgh, City of",5.2,10.2,15,0
"S02001597","Oxgangs","Edinburgh, City of",5.3,14.4,18,0
"S02001598","Comiston and Swanston","Edinburgh, City of",6.3,2.2,1,0
"S02001599","Fairmilehead","Edinburgh, City of",6.2,1.3,1,11.7
"S02001600","Gilmerton South and the Murrays","Edinburgh, City of",5.4,3.9,5,0
"S02001601","Mortonhall and Anwickhill","Edinburgh, City of",5.6,3.7,4,30.5
"S02001602","Gracemount, Southhouse and Burdiehouse","Edinburgh, City of",4.9,14.9,21,0
"S02001603","Hyvots and Gilmerton","Edinburgh, City of",5.1,13.9,18,0
"S02001604","Fernieside and Moredun South","Edinburgh, City of",5.4,11.8,17,0
"S02001605","Moredun and Craigour","Edinburgh, City of",4.8,18.7,23,0
"S02001606","Liberton East","Edinburgh, City of",6.1,3.1,3,0
"S02001607","Liberton West and Braid Hills","Edinburgh, City of",6.1,3.2,6,0
"S02001608","The Inch","Edinburgh, City of",5.3,11.9,17,0
"S02001609","Blackford, West Mains and Mayfield Road","Edinburgh, City of",6.1,2.6,4,0
"S02001610","Prestonfield","Edinburgh, City of",5.9,8.1,11,0
"S02001611","Newington and Dalkeith Road","Edinburgh, City of",5.9,2.4,3,0
"S02001612","The Grange","Edinburgh, City of",6.4,2.4,3,0
"S02001613","Marchmont East and Sciennes","Edinburgh, City of",6.4,1.9,3,0
"S02001614","Marchmont West","Edinburgh, City of",6.4,0.7,2,0
"S02001615","Morningside","Edinburgh, City of",6.3,2.6,3,0
"S02001616","Merchiston and Greenhill","Edinburgh, City of",6.3,4.2,3,0
"S02001617","Bruntsfield","Edinburgh, City of",6.4,2.5,4,0
"S02001618","Polwarth","Edinburgh, City of",5.9,3.6,5,0
"S02001619","Dalry and Fountainbridge","Edinburgh, City of",5.3,7.9,10,0
"S02001620","Tollcross","Edinburgh, City of",5.4,5.9,8,0
"S02001621","Meadows and Southside","Edinburgh, City of",6.2,3,4,0
"S02001622","Old Town, Princes Street and Leith Street","Edinburgh, City of",NA,8.3,9,0
"S02001623","Canongate, Southside and Dumbiedykes","Edinburgh, City of",4.7,7.7,10,0
"S02001624","Abbeyhill","Edinburgh, City of",6.1,8.5,11,0
"S02001625","Meadowbank and Abbeyhill North","Edinburgh, City of",5.3,5.9,7,0
"S02001626","Willowbrae and Duddingston Village","Edinburgh, City of",5.7,4.1,6,0
"S02001627","Craigmillar","Edinburgh, City of",5.1,14,23,0
"S02001628","Niddrie","Edinburgh, City of",4.9,22.4,32,0
